name	products
กระดาษซับมัน12*12	PRD157 (id:329) [สโตร์สันกำแพง] ; PRD214 (id:392) [สโตร์คันคลอง]
กระดาษปริ้นบิล	PRD448 (id:669) [สโตร์สันกำแพง] ; PRD449 (id:670) [สโตร์คันคลอง]
กล่องกลม Z 1500	PRD158 (id:330) [สโตร์สันกำแพง] ; PRD215 (id:393) [สโตร์คันคลอง]
กล่องกลม Z 750	PRD159 (id:331) [สโตร์สันกำแพง] ; PRD216 (id:394) [สโตร์คันคลอง]
กล่องน้ำจิ้มเล็ก	PRD160 (id:332) [สโตร์สันกำแพง] ; PRD217 (id:395) [สโตร์คันคลอง]
กล่องยาว 2000	PRD161 (id:333) [สโตร์สันกำแพง] ; PRD218 (id:396) [สโตร์คันคลอง]
กล่องยาว 2800	PRD162 (id:334) [สโตร์สันกำแพง] ; PRD219 (id:397) [สโตร์คันคลอง]
กล่องเหลี่ยม F 500	PRD163 (id:335) [สโตร์สันกำแพง] ; PRD220 (id:398) [สโตร์คันคลอง]
กล่องเหลี่ยม F 650	PRD164 (id:336) [สโตร์สันกำแพง] ; PRD221 (id:399) [สโตร์คันคลอง]
กล่องเหลี่ยม F 750	PRD165 (id:337) [สโตร์สันกำแพง] ; PRD222 (id:400) [สโตร์คันคลอง]
กะทิพร้าวหอม 250 มล.	PRD166 (id:338) [สโตร์สันกำแพง] ; PRD223 (id:401) [สโตร์คันคลอง]
กุ้งขาว เบอร์ O	PRD256 (id:455) [ซัพอื่นๆ] ; PRD291 (id:490) [ตลาดสด]
งาขาว	STORE_KK_017 (id:243) [สโตร์คันคลอง] ; PRD168 (id:340) [สโตร์สันกำแพง]
ซอสฝา เขียว	PRD169 (id:341) [สโตร์สันกำแพง] ; PRD225 (id:403) [สโตร์คันคลอง]
ซอสพริก	STORE_KK_034 (id:259) [สโตร์คันคลอง] ; PRD170 (id:342) [สโตร์สันกำแพง]
ซอสมะขาม	STORE_KK_015 (id:241) [สโตร์คันคลอง] ; PRD171 (id:343) [สโตร์สันกำแพง]
ซอสมะเขือเทศ	STORE_KK_035 (id:260) [สโตร์คันคลอง] ; PRD172 (id:344) [สโตร์สันกำแพง]
ซอสหอยนางรม	STORE_KK_007 (id:233) [สโตร์คันคลอง] ; PRD450 (id:671) [สโตร์สันกำแพง]
ซีอิ้วขาว	STORE_KK_013 (id:239) [สโตร์คันคลอง] ; PRD173 (id:345) [สโตร์สันกำแพง]
ซีอิ้วดำ	STORE_KK_012 (id:238) [สโตร์คันคลอง] ; PRD174 (id:346) [สโตร์สันกำแพง]
ตะไคร้	PRD261 (id:460) [ตลาดสด] ; PRD407 (id:628) [ผลิตสันกำแพง]
ถั่วคั่ว	STORE_KK_061 (id:286) [สโตร์คันคลอง] ; PRD175 (id:347) [สโตร์สันกำแพง]
ถั่วสงเลาะเปลือกเม็ดใหญ่	PRD176 (id:348) [สโตร์สันกำแพง] ; PRD226 (id:404) [สโตร์คันคลอง]
ถุงขยะ28*36	PRD177 (id:349) [สโตร์สันกำแพง] ; PRD227 (id:405) [สโตร์คันคลอง]
ถุงขยะเล็ก สี	PRD178 (id:350) [สโตร์สันกำแพง] ; PRD228 (id:406) [สโตร์คันคลอง]
ถุงมือยางขาว	STORE_KK_066 (id:291) [สโตร์คันคลอง] ; PRD179 (id:351) [สโตร์สันกำแพง]
ถุงร้อน 6*10	PRD180 (id:352) [สโตร์สันกำแพง] ; PRD229 (id:407) [สโตร์คันคลอง]
ถุงร้อน 7*11	PRD181 (id:353) [สโตร์สันกำแพง] ; PRD230 (id:408) [สโตร์คันคลอง]
ถุงร้อน3*5	PRD182 (id:354) [สโตร์สันกำแพง] ; PRD231 (id:409) [สโตร์คันคลอง]
ถุงร้อน4.5*6.5	PRD183 (id:355) [สโตร์สันกำแพง] ; PRD232 (id:410) [สโตร์คันคลอง]
ถุงร้อน5*8	PRD184 (id:356) [สโตร์สันกำแพง] ; PRD233 (id:411) [สโตร์คันคลอง]
ถุงหิ้ว 12*20	PRD185 (id:357) [สโตร์สันกำแพง] ; PRD234 (id:412) [สโตร์คันคลอง]
ถุงหิ้ว 6*14	PRD186 (id:358) [สโตร์สันกำแพง] ; PRD235 (id:413) [สโตร์คันคลอง]
ถุงหิ้ว 8*16	PRD187 (id:359) [สโตร์สันกำแพง] ; PRD236 (id:414) [สโตร์คันคลอง]
ทิชชู่ม้วนใหญ่	PRD447 (id:668) [สโตร์สันกำแพง] ; PRD475 (id:696) [สโตร์คันคลอง]
น้ำจิ้มบ้วย	STORE_KK_038 (id:263) [สโตร์คันคลอง] ; PRD189 (id:361) [สโตร์สันกำแพง]
น้ำจิ้มสุกี้	PRD190 (id:362) [สโตร์สันกำแพง] ; PRD238 (id:416) [สโตร์คันคลอง]
น้ำจิ้มไก่	STORE_KK_037 (id:262) [สโตร์คันคลอง] ; PRD191 (id:363) [สโตร์สันกำแพง]
น้ำตาลทราย ขาว มิตรผล	PRD192 (id:364) [สโตร์สันกำแพง] ; PRD239 (id:417) [สโตร์คันคลอง]
น้ำปลาทิพรส	STORE_KK_003 (id:229) [สโตร์คันคลอง] ; PRD193 (id:365) [สโตร์สันกำแพง]
น้ำมันพริกเผา	PRD194 (id:366) [สโตร์สันกำแพง] ; PRD240 (id:418) [สโตร์คันคลอง]
น้ำยาล้างจาน	STORE_KK_051 (id:276) [สโตร์คันคลอง] ; PRD196 (id:368) [สโตร์สันกำแพง]
น้ำส้มสายชู	PRD406 (id:627) [สโตร์สันกำแพง] ; PRD425 (id:646) [สโตร์คันคลอง]
ปลาดุก	PROD_PLADUK (id:198) [ซัพอื่นๆ] ; PRD290 (id:489) [ตลาดสด]
ปลาหมึกอาเจน 1 กก.	PRD077 (id:299) [ผลิตคันคลอง] ; PRD259 (id:458) [ผลิตสันกำแพง]
ผงกระหรี่ ปืนไขว่ 200 ก.	PRD197 (id:369) [สโตร์สันกำแพง] ; PRD242 (id:420) [สโตร์คันคลอง]
ผงชูรส พลัส	PRD198 (id:370) [สโตร์สันกำแพง] ; PRD243 (id:421) [สโตร์คันคลอง]
ผงซุปใสฟ้าไทย	PRD199 (id:371) [สโตร์สันกำแพง] ; PRD244 (id:422) [สโตร์คันคลอง]
ผงปรุงรส คนอร์	PRD200 (id:372) [สโตร์สันกำแพง] ; PRD245 (id:423) [สโตร์คันคลอง]
ผงมะนาว แม๊กกี้	PRD201 (id:373) [สโตร์สันกำแพง] ; PRD246 (id:424) [สโตร์คันคลอง]
พริกเผา	PRD202 (id:374) [สโตร์สันกำแพง] ; PRD247 (id:425) [สโตร์คันคลอง]
มายองเนส	STORE_KK_036 (id:261) [สโตร์คันคลอง] ; PRD203 (id:375) [สโตร์สันกำแพง]
วุ้นเส้น ต้นสน	PRD204 (id:376) [สโตร์สันกำแพง] ; PRD248 (id:426) [สโตร์คันคลอง]
สก๊อตไบร์ท+ฟองน้ำ	PRD414 (id:635) [สโตร์สันกำแพง] ; PRD463 (id:684) [สโตร์คันคลอง]
หนังยางเล็ก	PRD205 (id:377) [สโตร์สันกำแพง] ; PRD249 (id:427) [สโตร์คันคลอง]
หอมหัวใหญ่	PRD095 (id:317) [ตลาดสด] ; PRD396 (id:617) [ผลิตคันคลอง]
เกล็ดขนมปัง	STORE_KK_046 (id:271) [สโตร์คันคลอง] ; PRD206 (id:378) [สโตร์สันกำแพง]
เกลือป่น	PRD207 (id:379) [สโตร์สันกำแพง] ; PRD251 (id:429) [สโตร์คันคลอง]
เทียนถาด เซพแพ็ค	PRD208 (id:380) [สโตร์สันกำแพง] ; PRD252 (id:430) [สโตร์คันคลอง]
เวเฟอร์สติ๊กสอดไส้	PRD459 (id:680) [สโตร์คันคลอง] ; PRD460 (id:681) [สโตร์คันคลอง]
เส้นหมี่นู้ดดี่	PRD209 (id:381) [สโตร์สันกำแพง] ; PRD253 (id:431) [สโตร์คันคลอง]
เห็ดหลินดำ	PRD098 (id:320) [ผลิตคันคลอง] ; PRD263 (id:462) [ตลาดสด]
เห็ดหูหนู	PRD094 (id:316) [ผลิตคันคลอง] ; PRD264 (id:463) [ตลาดสด]
เห็ดออรินจิ	PRD097 (id:319) [ผลิตคันคลอง] ; PRD262 (id:461) [ตลาดสด]
แป้งกรอบ	PRD210 (id:382) [สโตร์สันกำแพง] ; PRD254 (id:432) [สโตร์คันคลอง]
แป้งมัน ตรามังกร	PRD211 (id:383) [สโตร์สันกำแพง] ; PRD255 (id:433) [สโตร์คันคลอง]
แป้งว่าว	STORE_KK_021 (id:246) [สโตร์คันคลอง] ; PRD212 (id:384) [สโตร์สันกำแพง]
แอปเปิ้ลเขียว	PRD088 (id:310) [ผลิตคันคลอง] ; PRD402 (id:623) [ตลาดสด]
แอปเปิ้ลแดง	PRD087 (id:309) [ผลิตคันคลอง] ; PRD403 (id:624) [ตลาดสด]
แอลกอฮอล์แข็ง เพาเวอร์	STORE_KK_068 (id:293) [สโตร์คันคลอง] ; PRD213 (id:385) [สโตร์สันกำแพง]
ไข่ไก่	PRD076 (id:298) [ผลิตคันคลอง] ; PRD272 (id:471) [ซัพอื่นๆ]
