รายการ,หน่วย,บาร์โค้ด
ผงชูรส พลัส,ถุง,8850250015161
แป้งมัน ตรามังกร ,ถุง,8853820000123
แป้งข้าวโพด,ถุง,8852633090901
แป้งว่าว,ถุง,8850310000724
แป้งกรอบ,ถุง,8852633330908
ผงปรุงรส คนอร์,ถุง,8850144224754
ผงซุปใสฟ้าไทย,ถุง,8854334002320
ผงมะนาว แม๊กกี้,ถุง,8850144214601
เบคกิ้งโซดา,ถุง,8850358371350
แป้งข้าวจ้าว ใบหยก,ถุง,8850341100011
แป้งข้าวจ้าว อัมรินทร์ทิพย์,ถุง,8852633005042
แป้งข้าวเหนียว อัมรินทร์ทิพย์,ถุง,8852633005066
เกลือป่น,ถุง,8850069010074
น้ำตาลทรายขาว มิตรผล,ถุง,8850256100106
น้ำตาลคาราเมล ,ถุง,8850256000505
น้ำตาลทรายแดง มิตรผล,ถุง,8850256510066
น้ำตาลกรวด วังขนาย,ถุง,8850456102030
น้ำทรายแดง วังขนาย (น้ำอ้อย),ถุง,8850456100227
น้ำปลาจั่นเพชร,แกลอน,8850213245000
น้ำปลาทิพรส,แกลอน,8850545455559
น้ำส้มสายชู,แกลอน,8850866254701
ซีอิ้วขาว,แกลอน,8850206011575
ซอสฝา เขียว,แกลอน,8851954101099
ซีอิ้วดำ,ขวด,8850206066032
พริกเผา,กระป๋อง,8852391010517
น้ำมันพริกเผา,ขวด,8852391020011
น้ำมันงา,ขวด,8851985315014
น้ำมันมรกต,ปี๊บ,8850154000096
เหล้า จีน,ขวด,6901052000052
ผงกระหรี่ ปืนไขว่ 200 ก.,กระปุก,8855262000013
ถั่วสงเลาะเปลือกเม็ดใหญ่,ถุง,888500011101
ถั่วคั่ว,ถุง,888500011102
ลูกเกด,ถุง,48000000001161
วุ้นเส้น ต้นสน,ห่อ,8850372000069
เส้นหมี่นู้ดดี่,แพ็ค,8850100004093
ข้าวเกรียบกุ้ง,ถุง,8850155012043
เกร็ดขนมปัง,ถุง,8850297991008
งาขาว,ถุง,8851683000380
เม็ดพริกไทยขาว,ถุง,8850842001183
เม็ดพริกไทยดำ,ถุง,8850842001190
กะทิพร้าวหอม 250 มล.,แพ็ค,8851613103389
กะทิพร้าวหอม 1000 มล.,แพ็ค,8850344997038
ปืนยิงแก๊ส,อัน,6853225896422
ซอสพริก,ถุง,8853026000354
ซอสมะเขือเทศ,ถุง,8853026000330
ซอสหอยนางรม,ถุง,8850866112858
ซอสมะขาม,ถุง,8854099009329
ซอสมายองเนส,ถุง,8856995001049
น้ำจิ้มไก่,ถุง,8853026000286
น้ำจิ้มสุกี้,ถุง,8853026000606
น้ำจิ้มบ๊วย,ถุง,8853026001184
ตะเกียบ,แพ็ค,5385138123452
ไม้จิ้มฟัน,แพ็ค,8850723730577
สเปรย์กันยุง,แพ็ค,8992772064200
แอลกอฮอล์แข็ง เพาเวอร์,ถุง,8859107900223
เทียนถาด เซพแพ็ค,ถาด,6901801010462
แก๊สกระป๋อง,แพ็ค,8850218003834
กระดาษซับมันห่อปลา 12*12,แพ็ค,
กระดาษซับมัน6*8,แพ็ค,8859726800386
กระดาษเช็ดมือแบบม้วน,ม้วน,8888336042276
scott แบบแผ่น hbt,ลัง,18888336042272
กระดาษรองจาน (napkin),แพ็ค,8853089003149
พารา,กระปุก,8850921009079
น้ำเกลือ,ขวด,8854060615344
กระดาษปริ้นบิล,แพ็ค,885874960611
กระดาษ A4,รีม,8851538722122
ปากกาเคมี,ด้าม,885155220101-1
ปากกา ,ด้าม,
"กรรไกร 8""",ด้าม,8852679100725
เทปลบคำผิด,อัน,6922931395700
เทปใส ม้วนเล็ก,ม้วน,8851071000558
เทปใส ใหญ่,ม้วน,8851880006727
ไส้แม๊กเย็บกระดาษ,กล่อง,8851552108001
หลอดดูดขาวพลาสติกเล็ก,แพ็ค,8851552108001
หลอดเด็ก,แพ็ค,8857124806023
หลอดงอเล็ก 621,แพ็ค,8859188805462
หลอดงอใหญ่ 824,แพ็ค,8859188805240
ช้อนพลาสติก,แพ็ค,8859466400150
ส้อมพลาสติก,แพ็็ค,8859466400167
หนังยางเล็ก,ถุง,8857200248327
หนังยางใหญ่,ถุง,8859734190226
ถุงมือยางส้ม,ถุง,8858706860358
ถุงมือยางขาว S,กล่อง,8859848850023
ถุงมือยางขาว M,กล่อง,8859848850030
ฟองน้ำล้างแก้ว,อัน,8850304020905
สก็อตไบรท์ ฝอย+ฟองน้ำ,อัน,8850304000068
น้ำยาล้างจาน,แกลอน,8851932464680
ผงชักฟอก,ถุง,8851932165358
น้ำยาล้างห้องน้ำ,ขวด,8850175046066
น้ำยาล้างมือ ,ขวด,36000125528
น้ำยาถูพื้น,แกลอน,8850563992722
น้ำยาเช็ดกระจก,ขวด,8850299000678
สเปรย์ปรับอากาศ,ขวด,8850969385227
ยากันยุง แบบขด,กล่อง,8850175067870
ไม้ถูพื้น,อัน,8850906160603
ไม้กวาดดอกหญ้า,อัน,PT2077
กล่องใส2H,แพ็ค,8859205100020
กล่องใส5H,แพ็ค,8859205100051
กล่องเหลี่ยม F 500,แพ็ค,8859368800690
กล่องเหลี่ยม F 650,แพ็ค,8859368800706
กล่องเหลี่ยม F 750,แพ็ค,8859368800713
กล่องยาว 2000,แพ็ค,8859748800258
กล่องยาว 2800,แพ็ค,8859748800327
กล่องกลม Z 750,แพ็ค,8859368800683
กล่องกลม Z 1500,แพ็ค,8859368800904
ถ้วยน้ำจิ้ม 1 Oz.,แพ็ค,8859350501819
ถุงแก้วใส่ช้อน เอโร่2*8,แพ็ค,8858667400235
ถุงร้อน3*5,แพ็ค,8858667400082
ถุงร้อน4.5*6.5,แพ็ค,8858667400174
ถุงร้อน5*8,แพ็ค,8858667400204
ถุงร้อน 6*10,แพ็ค,8858667400242
ถุงร้อน 7*11,แพ็ค,8858667400280
ถุงร้อน 6*9,แพ็ค,8858667400235
ถุงหิ้ว 6*14,แพ็ค,8858805247494
ถุงหิ้ว 8*16,แพ็ค,8858805247517
ถุงหิ้ว 9*18,แพ็ค,8858805247524
ถุงหิ้ว 12*20,แพ็ค,8858805247531
ถุงไฮเดน 5*8,แพ็ค,8858817012219
ถุงไฮเดน6*9,แพ็ค,8858817012233
ถุงไฮเดน 7*11,แพ็ค,8858817012257
ถุงไฮเดน 8*12,แพ็ค,8858817012264
ถุงไฮเดน 9*14,แพ็ค,8858667404257
ถุงไฮเดน 9*18,แพ็ค,
ถุงไฮเดน 10*15,แพ็ค,
ถุงไฮเดน 14*22,แพ็ค,8858817012301
ถุงไฮเดน16*26,แพ็ค,8858817012363
ถุงไฮเดน 12*24,แพ็ค,
ถุงซีน 20*25,แพ็ค,STO0001
ถุงซีน 15*20,แพ็ค,STO0002
ถุงขยะ24*28,แพ็ค,888500024X28
ถุงขยะ28*36,แพ็ค,888500028X36
ถุงขยะเล็ก สีม่วง,แพ็ค,8851079003728
นมข้นหวาน,ถุง,8858705614785
นมจืด คาเนชั่น,กระป๋อง,8850124018205
น้ำเชื่อม,ถุง,8850256000703
น้ำผึ้ง,ขวด,8853941002969
แก้วร้านกาแฟ,แถว,8855051117489
ฝาแก้ว ดื่ม,แถว,8859350501895
ฝาแก้ว โดม,แถว,8859350501802-1
แก้วกาแฟ ร้อน,แถว,8859356501653
ฝาแก้ว ร้อน,แถว,8859356501851
ปีโป้,ถุง,8850425000060
คอนเฟล็ก,ถุง,9555805800399
ผงโกโก้,ถุง,8850939200024
ก๊าซวิปครีม,กล่อง,8859607300011
กาแฟ คั่วกลาง,ถุง,8857109096197
กาแฟ คั่วเข้ม,ถุง,8857109096333
ครีมหอมนมสด,ถุง,8859202001337
Creamy,ถุง,8854729550238
ลองบีชผงมันม่วง,ถุง,8859479400727
อัลมอนด์สไลซ์ 1 กก.,ถุง,8852516072321
คอริฟิน,ถุง,8850172132038
Strawberry topping,ขวด,8853375000166
Chocolate topping,ขวด,8853375000159
ชาแดง ตรามือ,ถุง,8850370721119
ชาทองตรามือ,ถุง,8850370841114
ชาเขียวตรามือ,ถุง,8850370071115
ชาเขียวมัจฉะ,ถุง,8850370420753
ชากุหลาบ,ถุง,8850370420319
เฮลบลูบอย แดง,ขวด,8850423000093
สตอเบอรี่ติ่งฟง,ขวด,8858732821026
ส้มติ่งฟง,ขวด,8858732821521
มะม่วง ติ่งฟง,ขวด,8858732821972
ไซรัป สตอว์เบอร์รี่,ขวด,
ไซรัป มะพร้าว,ขวด,8850256526081
ไซรัป พีช,ขวด,8850256526401
ไซรัป ลิ้นจี่,ขวด,8850256526111
ไซรัป แอปเปิ้ล โมนิน,ขวด,3052910015107
Sunquick ผลไม้รวม,ขวด,8850332501101
Sunquick ส้ม,ขวด,8850332501070
Malee ส้มสายน้ำผึ้ง,กล่อง,8853333013580
Malee มะพร้าว,กล่อง,8853333017571
โค้ก,แพ็ค,8851959132012
โค้กซีโร่,ถุาด,8851959232071
Chang Cobu Beer,ลัง,8851993716056
Chang Classic,ลัง,8851993616059
Singha,ลัง,8850999111018
Hineken,ลัง,8850571920120
Leo,ลัง,8850999141015
แสงโสม,ขวด,8851707000181
รีเจนซี่ 350 ml,แบน,8858820900022
ไวน์ SPY Red,กล่อง,8850382330002
ไวน์ SPY Classic,กล่อง,8850382130008
มิกเซอร์ โซดาสิงห์,แพ็ค,8850999220024
กลิ่นวนิลา,ขวด,03-138
สติ๊กเกอร์ A9,แพ็ค,8851552794051
พลาสเตอร์ยา แปะแผล ไทเกอร์,กล่อง,8850672230128
ก้อนน้ำหอม Ambi pur,แพ็ค,4902430694124
ร่มแต่งจาน,กล่อง,8850723716731
อาท ยาฉีดมด,แพ็ค,8850273107034
กาวดักแมลงวัน *50,แพ็ค,8858786256416